Free,hour,minu,weekday
0,0,0,0
0,0,15,0
0,0,30,0
0,0,45,0
0,1,0,0
0,1,15,0
0,1,30,0
0,1,45,0
0,2,0,0
0,2,15,0
0,2,30,0
0,2,45,0
0,3,0,0
0,3,15,0
0,3,30,0
0,3,45,0
0,4,0,0
0,4,15,0
0,4,30,0
0,4,45,0
0,5,0,0
0,5,15,0
0,5,30,0
0,5,45,0
0,6,0,0
0,6,15,0
0,6,30,0
0,6,45,0
0,7,0,0
0,7,15,0
0,7,30,0
0,7,45,0
0,8,0,0
0,8,15,0
0,8,30,0
0,8,45,0
0,9,0,0
0,9,15,0
0,9,30,0
0,9,45,0
0,10,0,0
0,10,15,0
0,10,30,0
1,10,45,0
1,11,0,0
1,11,15,0
1,11,30,0
1,11,45,0
1,12,0,0
1,12,15,0
1,12,30,0
1,12,45,0
1,13,0,0
0,13,15,0
1,13,30,0
1,13,45,0
1,14,0,0
1,14,15,0
0,14,30,0
0,14,45,0
1,15,0,0
1,15,15,0
1,15,30,0
1,15,45,0
1,16,0,0
1,16,15,0
1,16,30,0
1,16,45,0
1,17,0,0
1,17,15,0
1,17,30,0
1,17,45,0
1,18,0,0
1,18,15,0
1,18,30,0
1,18,45,0
1,19,0,0
1,19,15,0
1,19,30,0
1,19,45,0
1,20,0,0
1,20,15,0
1,20,30,0
1,20,45,0
1,21,0,0
1,21,15,0
1,21,30,0
1,21,45,0
1,22,0,0
1,22,15,0
1,22,30,0
1,22,45,0
1,23,0,0
1,23,15,0
1,23,30,0
1,23,45,0
1,0,0,1
1,0,15,1
1,0,30,1
1,0,45,1
1,1,0,1
1,1,15,1
1,1,30,1
1,1,45,1
1,2,0,1
0,2,15,1
0,2,30,1
0,2,45,1
0,3,0,1
0,3,15,1
0,3,30,1
0,3,45,1
0,4,0,1
0,4,15,1
0,4,30,1
0,4,45,1
0,5,0,1
0,5,15,1
0,5,30,1
0,5,45,1
0,6,0,1
0,6,15,1
0,6,30,1
0,6,45,1
0,7,0,1
0,7,15,1
0,7,30,1
0,7,45,1
0,8,0,1
0,8,15,1
0,8,30,1
0,8,45,1
0,9,0,1
0,9,15,1
0,9,30,1
0,9,45,1
0,10,0,1
0,10,15,1
0,10,30,1
0,10,45,1
0,11,0,1
0,11,15,1
0,11,30,1
0,11,45,1
0,12,0,1
1,12,15,1
0,12,30,1
0,12,45,1
0,13,0,1
1,13,15,1
1,13,30,1
1,13,45,1
1,14,0,1
1,14,15,1
1,14,30,1
1,14,45,1
1,15,0,1
0,15,15,1
0,15,30,1
1,15,45,1
1,16,0,1
1,16,15,1
1,16,30,1
1,16,45,1
1,17,0,1
0,17,15,1
1,17,30,1
1,17,45,1
1,18,0,1
1,18,15,1
1,18,30,1
1,18,45,1
0,19,0,1
0,19,15,1
0,19,30,1
0,19,45,1
0,20,0,1
1,20,15,1
1,20,30,1
1,20,45,1
1,21,0,1
1,21,15,1
1,21,30,1
1,21,45,1
1,22,0,1
1,22,15,1
1,22,30,1
1,22,45,1
1,23,0,1
1,23,15,1
1,23,30,1
1,23,45,1
1,0,0,2
1,0,15,2
1,0,30,2
1,0,45,2
1,1,0,2
1,1,15,2
0,1,30,2
0,1,45,2
0,2,0,2
0,2,15,2
0,2,30,2
0,2,45,2
0,3,0,2
0,3,15,2
0,3,30,2
0,3,45,2
0,4,0,2
0,4,15,2
0,4,30,2
0,4,45,2
0,5,0,2
0,5,15,2
0,5,30,2
0,5,45,2
0,6,0,2
0,6,15,2
0,6,30,2
0,6,45,2
0,7,0,2
0,7,15,2
0,7,30,2
0,7,45,2
0,8,0,2
0,8,15,2
0,8,30,2
0,8,45,2
0,9,0,2
0,9,15,2
0,9,30,2
0,9,45,2
0,10,0,2
0,10,15,2
1,10,30,2
1,10,45,2
1,11,0,2
1,11,15,2
1,11,30,2
1,11,45,2
1,12,0,2
1,12,15,2
1,12,30,2
1,12,45,2
1,13,0,2
1,13,15,2
1,13,30,2
1,13,45,2
1,14,0,2
1,14,15,2
1,14,30,2
0,14,45,2
1,15,0,2
1,15,15,2
1,15,30,2
1,15,45,2
1,16,0,2
1,16,15,2
1,16,30,2
1,16,45,2
1,17,0,2
1,17,15,2
1,17,30,2
1,17,45,2
1,18,0,2
1,18,15,2
1,18,30,2
1,18,45,2
1,19,0,2
1,19,15,2
1,19,30,2
0,19,45,2
1,20,0,2
1,20,15,2
1,20,30,2
1,20,45,2
1,21,0,2
1,21,15,2
1,21,30,2
1,21,45,2
1,22,0,2
1,22,15,2
1,22,30,2
1,22,45,2
1,23,0,2
1,23,15,2
1,23,30,2
1,23,45,2
1,0,0,3
1,0,15,3
1,0,30,3
1,0,45,3
1,1,0,3
1,1,15,3
1,1,30,3
0,1,45,3
0,2,0,3
0,2,15,3
