,date time,Free,month,day,hour,minu,weekday
0,2011-11-28 00:00:00,0,11,28,0,0,0
1,2011-11-28 00:15:00,0,11,28,0,15,0
2,2011-11-28 00:30:00,0,11,28,0,30,0
3,2011-11-28 00:45:00,0,11,28,0,45,0
4,2011-11-28 01:00:00,0,11,28,1,0,0
5,2011-11-28 01:15:00,0,11,28,1,15,0
6,2011-11-28 01:30:00,0,11,28,1,30,0
7,2011-11-28 01:45:00,0,11,28,1,45,0
8,2011-11-28 02:00:00,0,11,28,2,0,0
9,2011-11-28 02:15:00,0,11,28,2,15,0
10,2011-11-28 02:30:00,0,11,28,2,30,0
11,2011-11-28 02:45:00,0,11,28,2,45,0
12,2011-11-28 03:00:00,0,11,28,3,0,0
13,2011-11-28 03:15:00,0,11,28,3,15,0
14,2011-11-28 03:30:00,0,11,28,3,30,0
15,2011-11-28 03:45:00,0,11,28,3,45,0
16,2011-11-28 04:00:00,0,11,28,4,0,0
17,2011-11-28 04:15:00,0,11,28,4,15,0
18,2011-11-28 04:30:00,0,11,28,4,30,0
19,2011-11-28 04:45:00,0,11,28,4,45,0
20,2011-11-28 05:00:00,0,11,28,5,0,0
21,2011-11-28 05:15:00,0,11,28,5,15,0
22,2011-11-28 05:30:00,0,11,28,5,30,0
23,2011-11-28 05:45:00,0,11,28,5,45,0
24,2011-11-28 06:00:00,0,11,28,6,0,0
25,2011-11-28 06:15:00,0,11,28,6,15,0
26,2011-11-28 06:30:00,0,11,28,6,30,0
27,2011-11-28 06:45:00,0,11,28,6,45,0
28,2011-11-28 07:00:00,0,11,28,7,0,0
29,2011-11-28 07:15:00,0,11,28,7,15,0
30,2011-11-28 07:30:00,0,11,28,7,30,0
31,2011-11-28 07:45:00,0,11,28,7,45,0
32,2011-11-28 08:00:00,0,11,28,8,0,0
33,2011-11-28 08:15:00,0,11,28,8,15,0
34,2011-11-28 08:30:00,0,11,28,8,30,0
35,2011-11-28 08:45:00,0,11,28,8,45,0
36,2011-11-28 09:00:00,0,11,28,9,0,0
37,2011-11-28 09:15:00,0,11,28,9,15,0
38,2011-11-28 09:30:00,0,11,28,9,30,0
39,2011-11-28 09:45:00,0,11,28,9,45,0
40,2011-11-28 10:00:00,0,11,28,10,0,0
41,2011-11-28 10:15:00,0,11,28,10,15,0
42,2011-11-28 10:30:00,0,11,28,10,30,0
43,2011-11-28 10:45:00,1,11,28,10,45,0
44,2011-11-28 11:00:00,1,11,28,11,0,0
45,2011-11-28 11:15:00,1,11,28,11,15,0
46,2011-11-28 11:30:00,1,11,28,11,30,0
47,2011-11-28 11:45:00,1,11,28,11,45,0
48,2011-11-28 12:00:00,1,11,28,12,0,0
49,2011-11-28 12:15:00,1,11,28,12,15,0
50,2011-11-28 12:30:00,1,11,28,12,30,0
51,2011-11-28 12:45:00,1,11,28,12,45,0
52,2011-11-28 13:00:00,1,11,28,13,0,0
53,2011-11-28 13:15:00,0,11,28,13,15,0
54,2011-11-28 13:30:00,1,11,28,13,30,0
55,2011-11-28 13:45:00,1,11,28,13,45,0
56,2011-11-28 14:00:00,1,11,28,14,0,0
57,2011-11-28 14:15:00,1,11,28,14,15,0
58,2011-11-28 14:30:00,0,11,28,14,30,0
59,2011-11-28 14:45:00,0,11,28,14,45,0
60,2011-11-28 15:00:00,1,11,28,15,0,0
61,2011-11-28 15:15:00,1,11,28,15,15,0
62,2011-11-28 15:30:00,1,11,28,15,30,0
63,2011-11-28 15:45:00,1,11,28,15,45,0
64,2011-11-28 16:00:00,1,11,28,16,0,0
65,2011-11-28 16:15:00,1,11,28,16,15,0
66,2011-11-28 16:30:00,1,11,28,16,30,0
67,2011-11-28 16:45:00,1,11,28,16,45,0
68,2011-11-28 17:00:00,1,11,28,17,0,0
69,2011-11-28 17:15:00,1,11,28,17,15,0
70,2011-11-28 17:30:00,1,11,28,17,30,0
71,2011-11-28 17:45:00,1,11,28,17,45,0
72,2011-11-28 18:00:00,1,11,28,18,0,0
73,2011-11-28 18:15:00,1,11,28,18,15,0
74,2011-11-28 18:30:00,1,11,28,18,30,0
75,2011-11-28 18:45:00,1,11,28,18,45,0
76,2011-11-28 19:00:00,1,11,28,19,0,0
77,2011-11-28 19:15:00,1,11,28,19,15,0
78,2011-11-28 19:30:00,1,11,28,19,30,0
79,2011-11-28 19:45:00,1,11,28,19,45,0
80,2011-11-28 20:00:00,1,11,28,20,0,0
81,2011-11-28 20:15:00,1,11,28,20,15,0
82,2011-11-28 20:30:00,1,11,28,20,30,0
83,2011-11-28 20:45:00,1,11,28,20,45,0
84,2011-11-28 21:00:00,1,11,28,21,0,0
85,2011-11-28 21:15:00,1,11,28,21,15,0
86,2011-11-28 21:30:00,1,11,28,21,30,0
87,2011-11-28 21:45:00,1,11,28,21,45,0
88,2011-11-28 22:00:00,1,11,28,22,0,0
89,2011-11-28 22:15:00,1,11,28,22,15,0
90,2011-11-28 22:30:00,1,11,28,22,30,0
91,2011-11-28 22:45:00,1,11,28,22,45,0
92,2011-11-28 23:00:00,1,11,28,23,0,0
93,2011-11-28 23:15:00,1,11,28,23,15,0
94,2011-11-28 23:30:00,1,11,28,23,30,0
95,2011-11-28 23:45:00,1,11,28,23,45,0
96,2011-11-29 00:00:00,1,11,29,0,0,1
97,2011-11-29 00:15:00,1,11,29,0,15,1
98,2011-11-29 00:30:00,1,11,29,0,30,1
99,2011-11-29 00:45:00,1,11,29,0,45,1
100,2011-11-29 01:00:00,1,11,29,1,0,1
101,2011-11-29 01:15:00,1,11,29,1,15,1
102,2011-11-29 01:30:00,1,11,29,1,30,1
103,2011-11-29 01:45:00,1,11,29,1,45,1
104,2011-11-29 02:00:00,1,11,29,2,0,1
105,2011-11-29 02:15:00,0,11,29,2,15,1
106,2011-11-29 02:30:00,0,11,29,2,30,1
107,2011-11-29 02:45:00,0,11,29,2,45,1
108,2011-11-29 03:00:00,0,11,29,3,0,1
109,2011-11-29 03:15:00,0,11,29,3,15,1
110,2011-11-29 03:30:00,0,11,29,3,30,1
111,2011-11-29 03:45:00,0,11,29,3,45,1
112,2011-11-29 04:00:00,0,11,29,4,0,1
113,2011-11-29 04:15:00,0,11,29,4,15,1
114,2011-11-29 04:30:00,0,11,29,4,30,1
115,2011-11-29 04:45:00,0,11,29,4,45,1
116,2011-11-29 05:00:00,0,11,29,5,0,1
117,2011-11-29 05:15:00,0,11,29,5,15,1
118,2011-11-29 05:30:00,0,11,29,5,30,1
119,2011-11-29 05:45:00,0,11,29,5,45,1
120,2011-11-29 06:00:00,0,11,29,6,0,1
121,2011-11-29 06:15:00,0,11,29,6,15,1
122,2011-11-29 06:30:00,0,11,29,6,30,1
123,2011-11-29 06:45:00,0,11,29,6,45,1
124,2011-11-29 07:00:00,0,11,29,7,0,1
125,2011-11-29 07:15:00,0,11,29,7,15,1
126,2011-11-29 07:30:00,0,11,29,7,30,1
127,2011-11-29 07:45:00,0,11,29,7,45,1
128,2011-11-29 08:00:00,0,11,29,8,0,1
129,2011-11-29 08:15:00,0,11,29,8,15,1
130,2011-11-29 08:30:00,0,11,29,8,30,1
131,2011-11-29 08:45:00,0,11,29,8,45,1
132,2011-11-29 09:00:00,0,11,29,9,0,1
133,2011-11-29 09:15:00,0,11,29,9,15,1
134,2011-11-29 09:30:00,0,11,29,9,30,1
135,2011-11-29 09:45:00,0,11,29,9,45,1
136,2011-11-29 10:00:00,0,11,29,10,0,1
137,2011-11-29 10:15:00,0,11,29,10,15,1
138,2011-11-29 10:30:00,0,11,29,10,30,1
139,2011-11-29 10:45:00,0,11,29,10,45,1
140,2011-11-29 11:00:00,0,11,29,11,0,1
141,2011-11-29 11:15:00,0,11,29,11,15,1
142,2011-11-29 11:30:00,0,11,29,11,30,1
143,2011-11-29 11:45:00,0,11,29,11,45,1
144,2011-11-29 12:00:00,0,11,29,12,0,1
145,2011-11-29 12:15:00,1,11,29,12,15,1
146,2011-11-29 12:30:00,0,11,29,12,30,1
147,2011-11-29 12:45:00,0,11,29,12,45,1
148,2011-11-29 13:00:00,0,11,29,13,0,1
149,2011-11-29 13:15:00,1,11,29,13,15,1
150,2011-11-29 13:30:00,1,11,29,13,30,1
151,2011-11-29 13:45:00,1,11,29,13,45,1
152,2011-11-29 14:00:00,1,11,29,14,0,1
153,2011-11-29 14:15:00,1,11,29,14,15,1
154,2011-11-29 14:30:00,1,11,29,14,30,1
155,2011-11-29 14:45:00,1,11,29,14,45,1
156,2011-11-29 15:00:00,1,11,29,15,0,1
157,2011-11-29 15:15:00,0,11,29,15,15,1
158,2011-11-29 15:30:00,0,11,29,15,30,1
159,2011-11-29 15:45:00,1,11,29,15,45,1
160,2011-11-29 16:00:00,1,11,29,16,0,1
161,2011-11-29 16:15:00,1,11,29,16,15,1
162,2011-11-29 16:30:00,1,11,29,16,30,1
163,2011-11-29 16:45:00,1,11,29,16,45,1
164,2011-11-29 17:00:00,1,11,29,17,0,1
165,2011-11-29 17:15:00,0,11,29,17,15,1
166,2011-11-29 17:30:00,1,11,29,17,30,1
167,2011-11-29 17:45:00,1,11,29,17,45,1
168,2011-11-29 18:00:00,1,11,29,18,0,1
169,2011-11-29 18:15:00,1,11,29,18,15,1
170,2011-11-29 18:30:00,1,11,29,18,30,1
171,2011-11-29 18:45:00,1,11,29,18,45,1
172,2011-11-29 19:00:00,0,11,29,19,0,1
173,2011-11-29 19:15:00,0,11,29,19,15,1
174,2011-11-29 19:30:00,0,11,29,19,30,1
175,2011-11-29 19:45:00,0,11,29,19,45,1
176,2011-11-29 20:00:00,0,11,29,20,0,1
177,2011-11-29 20:15:00,1,11,29,20,15,1
178,2011-11-29 20:30:00,1,11,29,20,30,1
179,2011-11-29 20:45:00,1,11,29,20,45,1
180,2011-11-29 21:00:00,1,11,29,21,0,1
181,2011-11-29 21:15:00,1,11,29,21,15,1
182,2011-11-29 21:30:00,1,11,29,21,30,1
183,2011-11-29 21:45:00,1,11,29,21,45,1
184,2011-11-29 22:00:00,1,11,29,22,0,1
185,2011-11-29 22:15:00,1,11,29,22,15,1
186,2011-11-29 22:30:00,1,11,29,22,30,1
187,2011-11-29 22:45:00,1,11,29,22,45,1
188,2011-11-29 23:00:00,1,11,29,23,0,1
189,2011-11-29 23:15:00,1,11,29,23,15,1
190,2011-11-29 23:30:00,1,11,29,23,30,1
191,2011-11-29 23:45:00,1,11,29,23,45,1
192,2011-11-30 00:00:00,1,11,30,0,0,2
193,2011-11-30 00:15:00,1,11,30,0,15,2
194,2011-11-30 00:30:00,1,11,30,0,30,2
195,2011-11-30 00:45:00,1,11,30,0,45,2
196,2011-11-30 01:00:00,1,11,30,1,0,2
197,2011-11-30 01:15:00,1,11,30,1,15,2
198,2011-11-30 01:30:00,0,11,30,1,30,2
199,2011-11-30 01:45:00,0,11,30,1,45,2
200,2011-11-30 02:00:00,0,11,30,2,0,2
201,2011-11-30 02:15:00,0,11,30,2,15,2
202,2011-11-30 02:30:00,0,11,30,2,30,2
203,2011-11-30 02:45:00,0,11,30,2,45,2
204,2011-11-30 03:00:00,0,11,30,3,0,2
205,2011-11-30 03:15:00,0,11,30,3,15,2
206,2011-11-30 03:30:00,0,11,30,3,30,2
207,2011-11-30 03:45:00,0,11,30,3,45,2
208,2011-11-30 04:00:00,0,11,30,4,0,2
209,2011-11-30 04:15:00,0,11,30,4,15,2
210,2011-11-30 04:30:00,0,11,30,4,30,2
211,2011-11-30 04:45:00,0,11,30,4,45,2
212,2011-11-30 05:00:00,0,11,30,5,0,2
213,2011-11-30 05:15:00,0,11,30,5,15,2
214,2011-11-30 05:30:00,0,11,30,5,30,2
215,2011-11-30 05:45:00,0,11,30,5,45,2
216,2011-11-30 06:00:00,0,11,30,6,0,2
217,2011-11-30 06:15:00,0,11,30,6,15,2
218,2011-11-30 06:30:00,0,11,30,6,30,2
219,2011-11-30 06:45:00,0,11,30,6,45,2
220,2011-11-30 07:00:00,0,11,30,7,0,2
221,2011-11-30 07:15:00,0,11,30,7,15,2
222,2011-11-30 07:30:00,0,11,30,7,30,2
223,2011-11-30 07:45:00,0,11,30,7,45,2
224,2011-11-30 08:00:00,0,11,30,8,0,2
225,2011-11-30 08:15:00,0,11,30,8,15,2
226,2011-11-30 08:30:00,0,11,30,8,30,2
227,2011-11-30 08:45:00,0,11,30,8,45,2
228,2011-11-30 09:00:00,0,11,30,9,0,2
229,2011-11-30 09:15:00,0,11,30,9,15,2
230,2011-11-30 09:30:00,0,11,30,9,30,2
231,2011-11-30 09:45:00,0,11,30,9,45,2
232,2011-11-30 10:00:00,0,11,30,10,0,2
233,2011-11-30 10:15:00,0,11,30,10,15,2
234,2011-11-30 10:30:00,1,11,30,10,30,2
235,2011-11-30 10:45:00,1,11,30,10,45,2
236,2011-11-30 11:00:00,1,11,30,11,0,2
237,2011-11-30 11:15:00,1,11,30,11,15,2
238,2011-11-30 11:30:00,1,11,30,11,30,2
239,2011-11-30 11:45:00,1,11,30,11,45,2
240,2011-11-30 12:00:00,1,11,30,12,0,2
241,2011-11-30 12:15:00,1,11,30,12,15,2
242,2011-11-30 12:30:00,1,11,30,12,30,2
243,2011-11-30 12:45:00,1,11,30,12,45,2
244,2011-11-30 13:00:00,1,11,30,13,0,2
245,2011-11-30 13:15:00,1,11,30,13,15,2
246,2011-11-30 13:30:00,1,11,30,13,30,2
247,2011-11-30 13:45:00,1,11,30,13,45,2
248,2011-11-30 14:00:00,1,11,30,14,0,2
249,2011-11-30 14:15:00,1,11,30,14,15,2
250,2011-11-30 14:30:00,1,11,30,14,30,2
251,2011-11-30 14:45:00,0,11,30,14,45,2
252,2011-11-30 15:00:00,1,11,30,15,0,2
253,2011-11-30 15:15:00,1,11,30,15,15,2
254,2011-11-30 15:30:00,1,11,30,15,30,2
255,2011-11-30 15:45:00,1,11,30,15,45,2
256,2011-11-30 16:00:00,1,11,30,16,0,2
257,2011-11-30 16:15:00,1,11,30,16,15,2
258,2011-11-30 16:30:00,1,11,30,16,30,2
259,2011-11-30 16:45:00,1,11,30,16,45,2
260,2011-11-30 17:00:00,1,11,30,17,0,2
261,2011-11-30 17:15:00,1,11,30,17,15,2
262,2011-11-30 17:30:00,1,11,30,17,30,2
263,2011-11-30 17:45:00,1,11,30,17,45,2
264,2011-11-30 18:00:00,1,11,30,18,0,2
265,2011-11-30 18:15:00,1,11,30,18,15,2
266,2011-11-30 18:30:00,1,11,30,18,30,2
267,2011-11-30 18:45:00,1,11,30,18,45,2
268,2011-11-30 19:00:00,1,11,30,19,0,2
269,2011-11-30 19:15:00,1,11,30,19,15,2
270,2011-11-30 19:30:00,1,11,30,19,30,2
271,2011-11-30 19:45:00,0,11,30,19,45,2
272,2011-11-30 20:00:00,1,11,30,20,0,2
273,2011-11-30 20:15:00,1,11,30,20,15,2
274,2011-11-30 20:30:00,1,11,30,20,30,2
275,2011-11-30 20:45:00,1,11,30,20,45,2
276,2011-11-30 21:00:00,1,11,30,21,0,2
277,2011-11-30 21:15:00,1,11,30,21,15,2
278,2011-11-30 21:30:00,1,11,30,21,30,2
279,2011-11-30 21:45:00,1,11,30,21,45,2
280,2011-11-30 22:00:00,1,11,30,22,0,2
281,2011-11-30 22:15:00,1,11,30,22,15,2
282,2011-11-30 22:30:00,1,11,30,22,30,2
283,2011-11-30 22:45:00,1,11,30,22,45,2
284,2011-11-30 23:00:00,1,11,30,23,0,2
285,2011-11-30 23:15:00,1,11,30,23,15,2
286,2011-11-30 23:30:00,1,11,30,23,30,2
287,2011-11-30 23:45:00,1,11,30,23,45,2
288,2011-12-01 00:00:00,1,12,1,0,0,3
